game,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
NA1/3749209096,58,76,4,135,875,79,203,61,21,57,1
NA1/3749409104,78,107,112,202,12,84,76,777,135,80,0
NA1/3750890071,79,104,134,145,111,62,30,238,67,117,0
NA1/3749388742,41,876,70,18,57,62,120,517,145,89,0
NA1/3750899833,164,163,245,202,80,58,20,34,145,875,1
NA1/3749359675,79,203,84,145,89,8,104,80,498,497,1
NA1/3749438970,79,876,236,145,875,57,120,39,21,70,0
NA1/3749329156,58,163,4,21,70,164,876,61,202,267,1
NA1/3750800457,516,104,112,523,875,150,876,13,145,57,1
NA1/3751009777,24,120,161,145,12,122,203,245,523,44,0
NA1/3749409263,58,76,238,145,12,777,120,117,523,412,0
NA1/3751009904,516,2,517,498,497,16,121,112,145,12,0
NA1/3749329366,98,203,43,21,111,79,64,236,18,57,0
NA1/3750800826,266,20,112,145,25,39,104,7,202,12,0
NA1/3749439438,266,104,61,21,3,57,76,777,523,89,0
NA1/3749409671,58,876,84,145,57,516,104,117,202,12,1
NA1/3751000244,98,121,134,145,43,31,2,61,81,12,0
NA1/3751170139,67,76,268,202,57,54,107,112,145,12,1
7001-9314,150,80,134,498,89,39,876,777,145,12,1
7001-9315,164,163,3,202,12,24,76,517,498,412,0
ESPORTSTMNT01/1683103,150,163,61,135,89,164,76,112,145,98,0
7003-9316,150,203,134,145,111,39,2,3,523,412,1
7002-9317,164,76,61,202,89,150,104,134,135,12,0
ESPORTSTMNT01/1683114,150,876,142,135,71,84,104,61,145,111,1
7003-9319,164,76,3,202,71,266,163,134,135,12,0
6931-9318,150,80,4,21,111,164,104,3,498,12,0
ESPORTSTMNT01/1683124,150,2,3,145,497,126,76,134,135,71,1
7002-9321,41,876,58,21,71,150,163,126,202,89,1
7003-9322,85,104,134,498,71,164,2,3,202,12,1
6931-9320,150,80,142,498,497,516,120,61,145,3,0
7004-9324,164,80,61,202,89,516,2,134,523,412,0
6932-9323,126,80,142,498,89,150,2,134,21,12,0
ESPORTSTMNT01/1683151,150,76,134,135,71,39,77,61,145,497,1
7005-9325,133,80,134,145,3,58,163,142,21,875,0
6932-9326,62,2,142,498,497,150,80,134,21,111,0
7004-9327,516,120,142,145,12,517,80,61,523,412,0
7005-9328,429,30,58,145,875,150,80,112,498,497,1
ESPORTSTMNT01/1683165,517,2,134,135,71,150,76,61,145,497,0
7005-9330,79,141,80,135,12,150,120,142,145,3,0
7004-9329,150,2,61,202,89,266,141,142,18,12,0
ESPORTSTMNT01/1692969,164,876,777,21,3,82,2,112,498,12,0
ESPORTSTMNT01/1692978,58,876,134,498,3,150,2,61,145,89,1
ESPORTSTMNT01/1692981,150,80,142,135,79,266,104,61,145,3,0
ESPORTSTMNT05/1780302,266,76,84,523,12,62,876,61,202,3,0
ESPORTSTMNT01/1683235,58,76,61,202,57,516,163,875,498,3,0
ESPORTSTMNT04/1480449,79,876,236,21,497,150,76,134,145,89,0
ESPORTSTMNT01/1692996,58,76,39,30,111,516,104,69,135,79,0
ESPORTSTMNT02/1640799,14,876,61,21,89,266,76,7,22,12,1
ESPORTSTMNT01/1693003,79,2,61,202,432,31,104,268,145,70,1
ESPORTSTMNT01/1693034,516,48,61,145,89,6,2,84,70,3,1
ESPORTSTMNT05/1780309,54,76,126,21,89,164,104,517,145,12,0
ESPORTSTMNT01/1693052,150,120,161,70,111,266,876,112,202,89,0
ESPORTSTMNT02/1650866,150,876,268,135,57,58,76,126,119,875,0
ESPORTSTMNT04/1480456,14,245,112,145,12,516,2,61,202,3,1
ESPORTSTMNT01/1693060,164,163,3,523,412,54,104,112,145,111,0
ESPORTSTMNT05/1780315,266,104,142,498,79,164,203,61,145,89,1
ESPORTSTMNT02/1640816,41,163,112,135,89,164,876,236,145,3,1
ESPORTSTMNT04/1480459,164,163,134,202,12,82,104,70,145,89,1
ESPORTSTMNT01/1693124,31,104,3,18,89,150,120,112,145,12,1
ESPORTSTMNT03/1683224,150,163,61,202,89,41,104,13,145,3,0
ESPORTSTMNT02/1640819,516,2,84,202,412,24,30,70,523,12,0
ESPORTSTMNT01/1693182,266,120,61,145,89,92,876,268,119,412,1
ESPORTSTMNT01/1693191,266,120,112,145,3,150,80,61,523,412,1
ESPORTSTMNT01/1683350,516,2,134,21,57,10,80,61,202,89,0
ESPORTSTMNT01/1693202,150,104,134,135,44,79,120,105,145,497,1
ESPORTSTMNT03/1683262,516,2,134,145,71,266,121,112,135,3,0
ESPORTSTMNT03/1673083,164,120,4,145,111,98,76,517,135,71,0
ESPORTSTMNT01/1693219,79,104,42,135,497,266,120,142,145,111,1
ESPORTSTMNT03/1683286,58,104,134,523,57,516,64,245,145,875,1
ESPORTSTMNT03/1683308,41,876,236,145,12,164,104,142,70,40,1
ESPORTSTMNT03/1683317,84,2,34,135,412,92,104,70,145,12,1
ESPORTSTMNT03/1683328,164,76,61,202,89,24,2,3,498,497,1
ESPORTSTMNT03/1673134,98,163,142,145,89,164,76,3,202,12,1
ESPORTSTMNT03/1683347,58,76,875,21,89,150,64,4,523,412,1
7006-9331,164,104,134,67,12,24,80,3,135,497,0
ESPORTSTMNT01/1693483,79,80,142,523,412,164,76,134,145,71,0
7006-9332,266,104,61,145,79,58,876,112,67,12,1
7008-9333,79,80,142,135,71,58,163,3,145,875,1
7007-9336,164,120,134,135,71,114,30,84,145,3,1
ESPORTSTMNT01/1693567,58,2,134,429,59,79,80,268,202,12,0
7008-9334,14,2,3,21,89,516,163,80,523,412,1
6933-9335,516,2,134,18,111,41,76,142,145,89,1
ESPORTSTMNT01/1693576,126,80,142,523,412,164,76,134,429,59,1
7007-9337,266,30,875,145,71,164,104,112,135,3,0
7008-9339,516,876,84,145,71,14,2,3,67,89,1
6933-9338,150,2,112,67,201,41,76,142,145,43,1
ESPORTSTMNT01/1693596,150,2,4,523,3,79,104,61,145,12,1
7007-9340,164,203,134,145,3,58,163,142,135,12,1
7010-9341,24,120,84,145,3,106,80,142,523,412,0
6934-9342,68,163,58,145,875,150,76,61,523,412,1
7010-9343,106,80,142,202,70,114,120,134,21,3,0
6934-9344,236,76,58,135,12,61,876,24,145,3,0
ESPORTSTMNT01/1693626,516,104,142,145,12,10,2,134,523,3,0
7010-9347,122,104,142,134,12,266,120,61,145,79,0
ESPORTSTMNT06/1510222,516,876,68,145,12,41,76,142,135,89,1
ESPORTSTMNT06/1510250,79,120,134,145,89,150,104,268,523,412,0
ESPORTSTMNT06/1510261,84,163,777,145,3,164,76,134,135,12,1
ESPORTSTMNT01/1693683,516,104,84,135,89,58,76,777,112,412,1
ESPORTSTMNT01/1683630,79,80,39,523,412,875,163,142,145,111,0
ESPORTSTMNT04/1490413,62,163,777,145,12,150,876,112,498,79,1
ESPORTSTMNT04/1480491,58,104,134,145,71,54,203,61,523,57,0
ESPORTSTMNT01/1693727,79,104,134,202,12,106,876,112,523,412,0
ESPORTSTMNT01/1683665,150,163,134,135,3,266,876,18,145,12,0
ESPORTSTMNT02/1640876,164,163,112,145,89,58,876,777,135,57,0
ESPORTSTMNT01/1683695,58,60,142,202,57,54,76,39,523,412,1
ESPORTSTMNT01/1693767,58,163,134,135,12,117,104,61,145,89,0
ESPORTSTMNT02/1650970,164,76,3,145,71,58,876,236,70,89,0
ESPORTSTMNT04/1490437,85,104,43,236,12,57,876,777,135,412,0
ESPORTSTMNT04/1480515,82,2,142,21,89,164,163,236,145,3,0
ESPORTSTMNT01/1683727,58,80,105,498,497,516,104,777,145,12,0
ESPORTSTMNT02/1650975,516,2,4,145,111,58,163,134,21,201,0
ESPORTSTMNT04/1490439,57,104,61,523,412,164,876,134,145,497,0
ESPORTSTMNT04/1480519,58,80,112,145,57,106,76,134,498,497,0
ESPORTSTMNT03/1683506,150,104,134,202,71,516,203,142,145,89,0
ESPORTSTMNT02/1640904,266,427,70,523,3,24,120,134,145,71,0
ESPORTSTMNT04/1490445,875,76,142,523,412,58,120,112,145,12,0
ESPORTSTMNT01/1683756,106,163,777,18,111,98,76,236,145,3,1
ESPORTSTMNT01/1693830,58,876,246,145,89,150,76,54,523,111,1
ESPORTSTMNT04/1480524,875,876,134,21,111,516,64,142,523,412,0
ESPORTSTMNT03/1683522,150,76,236,202,57,58,163,112,145,12,0
ESPORTSTMNT04/1480527,41,76,61,523,89,79,80,142,145,71,1
ESPORTSTMNT03/1683540,58,876,61,498,89,150,104,134,145,12,0
ESPORTSTMNT03/1683560,266,104,84,70,3,85,120,61,145,71,1
ESPORTSTMNT03/1683566,24,104,4,145,89,164,163,134,498,3,1
NA1/3752925364,236,77,516,202,70,41,876,61,21,412,0
NA1/3752936192,164,64,61,81,70,79,203,43,21,201,0
NA1/3752766800,266,77,3,145,25,58,76,112,523,412,1
ESPORTSTMNT01/1693931,150,163,61,135,12,84,120,4,202,98,0
7011-9348,126,163,112,135,12,150,876,61,145,875,0
7011-9349,126,80,7,135,12,150,104,84,145,71,0
7012-9350,164,2,61,135,12,82,48,142,145,875,0
7013-9351,164,80,134,145,12,58,876,61,236,79,1
ESPORTSTMNT01/1694012,58,876,236,145,79,41,2,61,523,412,0
6935-9353,58,876,61,498,111,79,104,134,202,12,1
7013-9352,516,120,134,145,875,266,80,142,498,57,1
7012-9354,516,163,236,135,89,150,104,61,202,497,0
ESPORTSTMNT01/1694041,150,876,777,135,12,58,120,4,145,3,1
7013-9355,85,2,142,498,89,266,876,39,145,412,0
6935-9356,164,104,3,145,12,150,76,142,498,89,0
7012-9357,266,76,61,145,875,516,876,246,135,89,0
ESPORTSTMNT01/1694062,79,104,134,145,875,516,2,142,498,12,0
7015-9358,78,80,142,135,412,150,76,126,145,71,0
6936-9359,58,76,7,145,875,516,104,142,21,3,0
7014-9360,164,104,4,67,201,58,2,61,145,875,0
7015-9362,266,876,134,135,89,62,76,126,145,71,1
ESPORTSTMNT01/1694108,150,2,61,145,111,517,104,142,135,12,0
6936-9361,150,876,7,145,12,58,163,112,498,89,1
7014-9363,58,80,61,523,412,266,104,142,145,12,1
ESPORTSTMNT01/1694118,39,77,61,202,3,150,104,134,21,12,0
ESPORTSTMNT06/1510274,266,76,134,145,12,114,104,61,135,71,1
ESPORTSTMNT06/1510288,58,163,134,498,12,41,876,3,202,80,1
ESPORTSTMNT04/1480651,79,2,4,15,12,58,876,18,202,89,0
ESPORTSTMNT06/1510310,54,876,777,145,412,6,80,69,21,201,1
ESPORTSTMNT04/1480709,58,163,142,498,3,79,120,112,145,89,0
ESPORTSTMNT03/1683744,126,163,61,145,12,41,876,134,523,412,0
ESPORTSTMNT03/1683767,133,876,875,523,12,58,76,84,145,79,1
ESPORTSTMNT03/1683782,79,2,84,21,70,516,104,4,523,412,0
NA1/3754254739,516,876,61,523,43,98,203,101,202,3,1
NA1/3754255165,54,120,61,523,117,164,76,39,81,555,0
ESPORTSTMNT03/1683785,150,876,134,145,89,164,76,3,21,111,1
ESPORTSTMNT03/1683791,54,104,134,202,79,150,876,84,145,89,1
ESPORTSTMNT01/1730173,41,876,61,145,111,516,104,134,523,412,1
7016-9364,84,141,3,145,71,266,104,4,202,111,0
ESPORTSTMNT01/1720284,41,104,7,135,71,150,876,61,145,497,1
7016-9365,62,76,3,145,71,24,77,4,498,875,0
7018-9367,516,120,61,145,71,58,163,112,498,12,0
7017-9366,150,876,142,145,12,516,163,875,498,79,0
ESPORTSTMNT01/1730251,58,76,236,145,71,79,64,134,135,12,0
7018-9368,266,2,7,498,89,84,30,236,135,12,0
7017-9370,58,80,112,498,12,126,76,517,145,89,1
6937-9369,150,79,134,135,71,516,104,142,523,412,0
7018-9371,58,30,84,145,12,266,2,4,498,89,0
ESPORTSTMNT01/1730313,79,2,142,498,412,516,104,112,145,89,1
6937-9372,164,876,3,145,89,150,79,13,498,12,1
7020-9375,164,120,112,145,71,58,80,3,498,497,0
ESPORTSTMNT01/1720372,58,163,61,523,412,106,5,4,21,875,0
6938-9374,150,2,112,21,70,62,59,4,523,412,0
ESPORTSTMNT01/1730332,79,203,142,145,71,266,80,134,135,875,0
6938-9377,58,64,134,498,12,150,163,240,145,89,1
7020-9378,516,876,80,145,89,58,76,61,498,71,1
ESPORTSTMNT06/1560051,82,80,39,22,12,150,113,58,145,111,0
ESPORTSTMNT06/1560052,58,876,84,145,875,39,2,517,70,71,0
ESPORTSTMNT06/1560056,266,104,142,202,89,82,120,84,523,12,0
ESPORTSTMNT03/1673660,79,203,38,135,89,58,876,61,21,12,0
ESPORTSTMNT04/1480759,58,245,112,145,12,516,163,236,22,412,1
ESPORTSTMNT03/1673670,126,76,134,145,875,58,120,142,21,70,1
ESPORTSTMNT04/1490690,266,76,4,145,111,85,120,61,135,12,0
ESPORTSTMNT03/1673683,106,876,7,523,412,82,427,777,222,71,1
ESPORTSTMNT04/1480772,106,104,3,523,201,58,80,4,145,497,1
ESPORTSTMNT03/1673702,106,163,4,145,875,58,60,112,523,12,1
ESPORTSTMNT03/1673709,106,104,4,145,3,164,203,84,70,111,0
ESPORTSTMNT03/1673715,58,76,4,498,497,43,120,236,70,89,0
ESPORTSTMNT03/1673719,164,876,236,202,89,24,104,4,145,12,1
ESPORTSTMNT03/1673726,266,120,4,145,111,79,76,236,202,3,1
ESPORTSTMNT03/1673736,79,120,84,145,12,41,76,4,202,412,0
ESPORTSTMNT03/1673738,164,203,3,15,12,79,104,268,202,432,0
NA1/3756222757,164,120,61,235,70,78,80,112,498,3,0
NA1/3756252945,58,163,61,202,89,516,120,115,145,12,0
NA1/3756323003,150,163,61,21,89,58,876,43,145,12,1
NA1/3756223414,516,104,70,67,201,98,120,134,135,80,1
NA1/3756323363,164,107,61,235,70,78,30,236,22,111,0
NA1/3756323515,164,104,134,202,79,266,163,61,21,80,0
NA1/3756254561,79,120,134,202,111,164,80,43,67,412,0
NA1/3756324728,58,163,134,135,111,150,876,61,202,12,1
ESPORTSTMNT01/1720608,41,876,61,135,12,58,59,134,67,3,1
7021-9379,164,76,3,202,111,150,104,517,523,412,0
7021-9380,266,76,245,145,89,516,2,112,523,412,0
7021-9381,266,76,80,202,12,62,2,134,21,70,0
7023-9382,58,163,134,498,3,41,2,61,145,12,1
ESPORTSTMNT01/1720684,41,77,61,145,497,58,876,777,135,71,1
7023-9383,62,876,777,119,111,266,2,84,523,412,0
7022-9385,150,876,112,145,497,79,64,134,135,71,1
6939-9384,58,64,4,135,3,79,104,142,145,89,1
ESPORTSTMNT01/1720707,150,76,4,135,89,58,876,777,67,3,0
6939-9386,58,77,13,145,12,150,876,134,135,71,0
7022-9388,58,163,39,145,875,516,2,112,498,497,1
7025-9387,164,163,134,135,12,150,30,126,145,875,1
ESPORTSTMNT01/1720710,84,104,134,145,89,85,2,3,429,875,0
7025-9390,164,80,142,498,12,266,163,126,202,79,0
6940-9389,150,104,142,145,12,164,76,61,498,497,0
7022-9391,41,2,61,135,71,79,120,112,523,412,1
6940-9392,41,104,61,145,875,150,876,3,498,12,0
ESPORTSTMNT01/1720742,150,876,777,145,71,164,2,134,202,875,0
7024-9393,516,2,112,135,3,58,80,69,145,12,0
ESPORTSTMNT06/1560072,58,163,61,145,3,85,2,134,21,70,1
7024-9394,79,80,134,135,3,58,876,61,145,89,0
ESPORTSTMNT01/1720760,150,163,134,135,79,164,2,84,67,12,1
ESPORTSTMNT06/1560073,79,2,142,145,71,58,76,105,21,875,0
ESPORTSTMNT04/1480816,516,120,4,202,12,79,104,7,523,412,0
ESPORTSTMNT03/1683943,58,876,142,135,71,150,77,61,523,412,1
ESPORTSTMNT03/1683949,164,120,13,202,89,41,104,61,21,111,0
ESPORTSTMNT04/1490767,164,2,142,67,89,58,104,112,145,3,0
ESPORTSTMNT03/1683961,79,120,517,135,12,68,104,61,523,89,1
ESPORTSTMNT03/1683969,164,2,134,523,71,516,104,236,70,111,0
ESPORTSTMNT04/1480857,79,104,134,135,12,14,120,142,202,57,0
ESPORTSTMNT03/1683998,164,163,61,145,3,58,104,134,18,89,0
ESPORTSTMNT04/1480859,79,876,61,498,12,266,203,112,22,412,1
ESPORTSTMNT03/1673808,58,76,134,202,12,41,77,61,523,412,0
ESPORTSTMNT04/1480861,106,104,517,145,875,79,120,61,67,57,1
ESPORTSTMNT03/1684020,126,876,4,145,497,79,104,13,202,70,1
ESPORTSTMNT03/1684024,85,163,777,135,89,39,77,236,70,57,0
ESPORTSTMNT03/1684025,79,120,84,145,40,58,76,61,135,71,1
NA1/3758330044,98,104,61,135,80,164,876,112,498,3,1
NA1/3758310179,62,120,61,145,412,516,427,245,523,117,0
NA1/3758330602,164,76,4,235,12,79,104,777,202,3,0
NA1/3758310892,14,30,18,523,3,266,120,518,145,111,1
NA1/3758310924,164,76,268,235,12,79,104,61,81,3,1
NA1/3758311314,164,104,134,523,412,58,163,4,21,89,1
NA1/3758311720,58,876,134,145,98,79,104,4,21,12,0
7026-9395,266,163,3,145,12,150,876,61,202,875,0
7026-9396,150,80,112,81,12,58,876,13,498,497,1
ESPORTSTMNT01/1731227,164,104,134,135,71,79,76,236,145,12,1
7028-9398,39,120,3,145,12,516,104,84,498,71,0
ESPORTSTMNT01/1731235,79,163,777,145,3,150,876,875,135,71,1
7028-9399,79,30,157,145,12,39,76,61,18,89,1
6941-9400,150,876,268,145,875,39,120,61,523,412,0
ESPORTSTMNT01/1731252,79,104,268,145,71,516,77,61,135,497,0
7030-9403,58,120,112,18,71,516,876,777,135,12,0
6941-9402,150,421,61,135,12,41,876,268,523,412,1
7030-9405,58,2,134,498,12,266,104,84,18,71,0
ESPORTSTMNT01/1731285,266,163,3,18,350,150,76,61,135,71,1
6942-9406,266,60,61,145,79,150,80,134,523,412,0
7030-9407,41,2,61,135,71,58,76,3,498,12,1
7029-9409,164,120,84,135,71,266,2,142,523,412,1
ESPORTSTMNT01/1731319,266,76,4,135,71,150,163,429,145,79,0
6942-9408,516,2,134,145,875,266,80,142,67,3,1
7029-9410,516,104,84,523,412,164,876,236,145,497,1
7029-9411,164,76,142,145,111,84,2,777,523,117,0
ESPORTSTMNT01/1731417,79,876,112,145,89,875,120,13,67,3,1
ESPORTSTMNT01/1721273,266,36,4,523,412,150,120,55,145,111,1
ESPORTSTMNT03/1673830,106,104,4,18,89,58,76,13,145,412,0
ESPORTSTMNT01/1731468,79,80,3,145,12,58,876,134,202,201,0
ESPORTSTMNT01/1731469,106,76,777,22,412,58,245,39,21,555,1
ESPORTSTMNT04/1490879,54,104,134,498,111,79,427,61,523,201,0
ESPORTSTMNT03/1673833,517,104,70,21,12,266,77,112,145,79,0
ESPORTSTMNT01/1731529,58,876,112,81,57,79,76,777,145,71,1
ESPORTSTMNT04/1490895,79,427,61,67,12,164,104,84,145,111,1
ESPORTSTMNT01/1731571,8,2,70,202,111,92,104,134,145,12,1
ESPORTSTMNT01/1721348,150,120,84,498,3,41,876,517,135,79,1
ESPORTSTMNT01/1731626,516,104,112,523,412,79,876,18,21,201,0
ESPORTSTMNT01/1721392,98,876,236,523,79,164,104,4,145,89,1
ESPORTSTMNT01/1721420,79,2,142,21,412,164,76,61,145,89,0
NA1/3758436658,150,76,84,145,53,98,876,236,523,412,0
NA1/3758446440,41,163,3,523,412,106,120,236,235,53,1
NA1/3758516253,58,203,70,16,89,67,60,142,135,12,1
NA1/3758616144,58,163,236,145,89,164,120,54,235,3,0
NA1/3758156859,164,163,80,135,111,79,203,92,202,70,0
NA1/3758436716,58,2,61,523,3,150,80,4,21,412,1
NA1/3758156888,62,80,134,523,412,41,56,112,145,3,0
NA1/3758406682,6,120,61,523,412,58,876,4,145,3,1
NA1/3758466191,79,80,7,145,89,164,2,4,498,497,1
NA1/3758616570,58,163,4,523,89,516,876,777,145,3,1
NA1/3758437047,79,77,3,235,80,420,163,4,202,89,1
NA1/3758516729,126,76,4,523,111,58,60,112,67,117,0
NA1/3758277138,164,104,517,18,3,54,876,61,145,875,0
NA1/3758466558,62,876,236,145,875,54,120,112,523,98,0
NA1/3758407064,79,120,136,119,89,98,876,80,145,412,0
NA1/3758277193,164,2,134,67,16,98,876,777,145,412,1
NA1/3758297028,516,876,236,145,3,79,76,777,523,412,1
NA1/3758446939,79,203,80,145,412,58,76,142,498,89,1
NA1/3758277602,150,76,90,135,875,62,104,61,145,3,1
NA1/3758447367,266,163,80,145,3,58,79,142,523,12,0
NA1/3758437617,266,163,4,235,875,58,876,142,202,12,0
ESPORTSTMNT01/1721548,24,421,61,145,71,516,876,777,498,412,0
ESPORTSTMNT01/1721557,266,76,39,135,12,164,64,4,145,71,1
6943-9412,236,876,58,498,12,150,77,13,202,89,0
ESPORTSTMNT01/1721590,126,2,134,145,875,266,76,3,21,22,1
6943-9413,164,876,777,21,412,150,120,68,498,12,0
6943-9414,84,2,4,523,412,79,104,13,21,111,0
ESPORTSTMNT01/1721617,266,76,61,145,79,164,876,777,135,71,1
6944-9415,150,80,142,135,12,126,104,4,202,71,0
ESPORTSTMNT01/1721630,150,76,236,110,57,164,163,39,523,412,1
6944-9416,41,876,142,135,89,150,104,61,523,12,0
6944-9417,516,2,268,523,412,58,876,84,145,89,0
ESPORTSTMNT01/1731994,43,120,61,202,111,150,2,112,22,12,1
ESPORTSTMNT03/1673869,58,163,61,145,12,43,120,3,498,412,0
ESPORTSTMNT01/1721721,164,120,134,498,3,79,2,4,523,412,1
ESPORTSTMNT04/1481046,54,120,43,145,98,58,104,69,21,3,1
ESPORTSTMNT01/1732046,84,104,70,145,12,83,2,34,21,111,0
ESPORTSTMNT01/1721747,58,77,4,135,71,875,876,236,145,89,1
ESPORTSTMNT01/1732080,266,120,4,202,79,240,876,236,21,89,0
ESPORTSTMNT01/1721775,266,120,3,70,111,84,77,67,875,79,0
ESPORTSTMNT04/1481054,106,163,80,145,12,41,427,58,202,79,0
ESPORTSTMNT01/1732102,266,120,70,145,111,23,2,7,202,57,1
ESPORTSTMNT03/1673878,43,120,112,236,3,150,77,34,18,89,0
ESPORTSTMNT03/1673893,43,120,112,236,3,150,77,34,18,89,0
ESPORTSTMNT01/1721796,58,76,142,135,12,106,104,134,145,89,1
ESPORTSTMNT03/1684110,266,163,4,523,412,58,120,134,145,111,0
ESPORTSTMNT01/1732131,14,203,112,145,89,516,104,245,498,3,0
ESPORTSTMNT01/1721846,58,2,134,22,111,266,163,236,145,412,0
ESPORTSTMNT04/1481061,150,104,134,145,71,516,876,112,202,875,1
ESPORTSTMNT03/1684113,516,2,245,135,71,39,876,134,202,12,0
ESPORTSTMNT01/1721862,266,76,131,135,71,240,77,112,145,432,0
ESPORTSTMNT03/1684168,164,104,134,523,412,79,2,112,202,12,0
ESPORTSTMNT03/1684184,79,106,61,523,412,266,120,84,145,875,0
NA1/3760583371,106,30,92,145,432,41,104,127,523,79,1
NA1/3760473340,150,203,43,523,412,79,2,112,235,875,1
NA1/3760593225,41,163,80,135,201,150,120,3,202,43,1
NA1/3760353923,98,2,134,235,3,41,203,117,145,26,0
NA1/3760583430,164,203,4,70,12,82,120,84,202,3,0
NA1/3760583447,164,76,61,145,71,58,876,13,235,3,0
NA1/3760433724,31,2,236,74,875,98,203,4,202,3,0
NA1/3760723177,266,104,134,523,412,58,80,245,145,875,0
NA1/3760623744,106,78,4,523,555,41,104,13,145,412,0
NA1/3760583782,150,104,112,235,79,58,876,161,145,875,0
NA1/3760524123,516,104,777,81,3,58,163,4,135,12,1
NA1/3760863233,516,59,236,74,3,420,76,101,202,89,1
NA1/3760873099,150,120,61,70,235,39,104,134,135,875,0
NA1/3760583838,98,163,157,202,3,92,76,142,21,12,1
NA1/3760613825,98,203,134,145,26,164,104,61,523,875,1
NA1/3760464273,58,245,236,202,12,54,104,112,523,412,1
NA1/3760613967,58,120,70,523,89,80,59,4,145,53,1
NA1/3760873415,876,104,268,145,12,98,163,61,18,57,1
NA1/3760734053,516,104,112,202,3,58,76,61,145,89,1
ESPORTSTMNT05/1830051,164,80,68,235,79,516,2,134,523,12,0
7031-9418,58,876,134,145,89,516,104,61,135,71,1
7031-9419,85,120,245,135,71,126,163,112,67,201,0
7032-9420,24,80,245,135,71,516,120,134,498,875,0
ESPORTSTMNT05/1830073,79,876,875,145,71,266,163,777,67,412,1
7032-9422,24,80,134,202,79,875,76,245,135,71,1
6945-9424,106,876,142,498,79,126,76,58,145,71,1
ESPORTSTMNT05/1830074,150,76,61,145,12,133,876,134,498,497,1
7032-9425,24,163,58,135,79,516,76,61,498,12,1
7035-9427,516,876,236,145,111,39,120,3,523,412,1
6945-9426,58,163,875,67,12,516,876,61,135,71,0
7035-9428,39,163,134,523,412,79,2,245,202,875,0
7034-9430,164,76,3,498,412,14,104,268,18,89,0
6946-9429,150,876,4,18,89,164,104,3,429,71,0
ESPORTSTMNT05/1830089,14,77,268,145,875,150,163,142,498,71,1
7034-9431,266,76,875,235,62,516,80,69,523,412,0
6946-9432,58,104,3,22,875,133,163,4,202,71,1
ESPORTSTMNT05/1830093,516,77,112,145,70,79,2,61,498,497,0
7034-9433,266,76,246,135,12,82,120,3,235,62,0
ESPORTSTMNT03/1684186,82,104,134,145,12,126,876,142,523,89,0
ESPORTSTMNT05/1830101,164,876,134,50,12,266,163,13,523,412,1
ESPORTSTMNT03/1684189,58,876,134,523,412,150,59,4,145,43,0
ESPORTSTMNT06/1550141,164,2,134,145,12,106,104,112,18,497,0
ESPORTSTMNT04/1481075,41,876,236,21,432,8,2,112,523,89,0
ESPORTSTMNT01/1732376,41,163,4,21,12,31,104,142,202,3,0
ESPORTSTMNT06/1550164,58,60,4,67,201,41,163,7,145,71,0
ESPORTSTMNT03/1684192,58,104,61,202,12,516,80,84,21,57,1
ESPORTSTMNT06/1550181,54,2,777,70,12,164,876,84,145,3,0
ESPORTSTMNT01/1722109,41,120,70,145,12,266,876,1,498,3,0
ESPORTSTMNT06/1560227,58,163,43,67,412,41,120,134,145,111,0
ESPORTSTMNT04/1481085,41,120,142,22,111,62,80,84,21,70,1
ESPORTSTMNT06/1550196,150,80,134,523,412,58,120,61,21,111,0
ESPORTSTMNT03/1673958,58,2,39,70,43,150,104,112,145,3,1
ESPORTSTMNT06/1550200,78,104,4,498,70,79,120,157,15,117,0
ESPORTSTMNT04/1481087,79,80,142,523,3,58,113,39,112,89,0
ESPORTSTMNT01/1722163,266,80,142,135,875,54,120,61,498,12,0
ESPORTSTMNT06/1550213,266,876,777,145,497,79,120,134,498,70,0
ESPORTSTMNT01/1732445,150,2,84,145,89,58,76,4,21,412,1
ESPORTSTMNT04/1481089,150,2,61,135,71,266,80,4,145,12,0
ESPORTSTMNT06/1550214,41,120,236,22,70,150,876,112,145,89,1
ESPORTSTMNT03/1673960,58,876,134,498,89,150,80,142,145,875,1
ESPORTSTMNT05/1830161,79,876,84,523,412,58,76,777,115,25,0
ESPORTSTMNT02/1690966,150,77,18,145,89,58,76,4,67,201,1
ESPORTSTMNT03/1673964,58,163,4,202,111,266,876,777,21,3,0
ESPORTSTMNT04/1481099,516,76,236,21,3,266,104,134,145,12,1
ESPORTSTMNT02/1690987,85,2,268,235,12,58,80,142,523,412,0
ESPORTSTMNT03/1684212,106,876,112,145,875,164,113,4,523,412,1
ESPORTSTMNT05/1820140,126,77,268,16,43,41,203,777,70,117,1
ESPORTSTMNT01/1732524,266,80,61,145,89,79,203,236,69,12,0
ESPORTSTMNT05/1820156,58,163,517,145,12,150,203,4,202,71,0
ESPORTSTMNT05/1830194,68,876,56,202,875,150,120,268,135,89,1
7038-9437,266,2,3,498,497,126,104,7,18,89,1
7037-9436,62,30,875,145,12,150,203,4,498,71,0
ESPORTSTMNT05/1830216,266,120,112,145,12,126,876,61,135,875,0
7038-9438,150,104,7,145,875,516,2,134,523,412,0
7037-9440,58,876,134,498,12,266,120,3,145,71,1
6947-9439,58,876,4,67,12,150,163,517,135,71,1
