game,bluetopgp,bluetopwr,bluetopkda,bluejunglegp,bluejunglewr,bluejunglekda,bluemidgp,bluemidwr,bluemidkda,blueadcgp,blueadcwr,blueadckda,bluesupportgp,bluesupportwr,bluesupportkda,redtopgp,redtopwr,redtopkda,redjunglegp,redjunglewr,redjunglekda,redmidgp,redmidwr,redmidkda,redadcgp,redadcwr,redadckda,redsupportgp,redsupportwr,redsupportkda,result
NA1/3794994942,2,0.0,1.3,20,0.8,5.6,12,0.75,4.2,0,0.0,0.0,0,0.0,0.0,23,0.74,4.1,28,0.71,4.5,5,0.6,2.0,12,0.58,7.5,16,0.81,2.5,1
NA1/3794995201,30,0.57,3.3,23,0.7,6.0,11,0.45,3.1,9,0.44,3.3,17,0.41,2.3,14,0.64,3.3,10,0.6,3.8,15,0.53,3.6,14,0.64,5.3,38,0.58,3.6,1
ESPORTSTMNT03/1765062,39,0.67,3.5,7,0.71,6.1,38,0.45,3.3,29,0.66,5.0,5,0.6,3.3,14,0.36,1.6,10,0.4,3.0,30,0.53,4.4,12,0.17,3.0,15,0.4,1.8,0
NA1/3794995552,5,0.2,0.7,10,0.6,3.8,1,0.0,0.5,14,0.64,5.3,38,0.58,3.6,30,0.57,3.3,23,0.7,6.0,33,0.64,4.3,9,0.44,3.3,11,0.64,4.7,1
NA1/3794945687,14,0.64,3.3,10,0.6,3.8,48,0.65,4.9,58,0.43,3.9,38,0.58,3.6,14,0.57,2.5,23,0.7,6.0,10,0.6,6.1,9,0.44,3.3,4,0.75,8.2,0
ESPORTSTMNT03/1765100,17,0.53,3.4,25,0.56,5.3,10,0.7,5.2,7,0.57,2.8,8,0.63,5.6,50,0.6,3.5,7,0.43,3.1,3,0.33,3.0,23,0.61,6.5,61,0.46,3.7,1
NA1/3794946219,14,0.64,3.3,10,0.6,3.8,15,0.47,4.0,52,0.5,4.7,7,0.71,3.8,29,0.52,2.3,23,0.7,6.0,33,0.64,4.3,9,0.44,3.3,27,0.59,4.8,1
ESPORTSTMNT03/1765112,20,0.5,4.8,5,1.0,22.7,3,1.0,6.5,8,0.25,4.0,9,0.56,3.4,4,0.25,1.1,25,0.44,3.7,23,0.35,2.4,55,0.44,4.4,24,0.71,5.5,0
ESPORTSTMNT03/1755098,21,0.76,4.1,6,0.5,3.2,8,0.38,3.0,23,0.48,3.4,6,0.5,3.9,11,0.73,4.1,4,0.75,5.9,5,0.8,9.0,2,1.0,25.0,2,0.5,2.6,1
NA1/3794946670,30,0.57,3.3,23,0.7,6.0,33,0.64,4.3,8,0.75,7.9,37,0.65,3.5,2,0.5,1.4,10,0.6,3.8,15,0.53,3.6,15,0.53,6.9,3,0.33,1.6,0
