game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT03/1820568,0,0,0,1,1.0,0.67,3,0.67,2.3,1,0.0,1.67,1,0.0,11.0,13,0.62,4.52,3,0.0,26.5,12,0.42,8.89,28,0.57,6.22,8,0.38,2.19,1
ESPORTSTMNT03/1820572,3,1.0,2.27,0,0,0,0,0,0,7,0.86,3.59,0,0,0,2,1.0,4.0,13,0.46,3.33,2,0.0,8.67,9,0.44,4.43,15,0.4,3.95,0
ESPORTSTMNT03/1810448,6,0.5,1.65,0,0,0,3,0.67,4.18,7,0.71,4.21,3,0.67,4.33,14,0.79,3.72,10,0.4,2.04,4,0.5,1.67,28,0.61,3.5,12,0.5,3.62,1
ESPORTSTMNT03/1820575,1,1.0,2.67,6,0.67,2.89,2,0.0,2.67,4,0.0,4.17,3,0.67,2.6,1,0.0,2.5,4,1.0,2.0,13,0.62,2.66,5,0.6,2.24,0,0,0,0
ESPORTSTMNT03/1810456,8,0.5,2.15,6,0.33,3.42,9,0.56,7.16,29,0.59,3.56,13,0.46,3.8,7,0.43,2.96,3,0.33,4.67,1,0.0,2.67,5,0.6,2.69,6,0.67,1.59,0
ESPORTSTMNT03/1820583,7,0.43,2.21,7,0.71,3.27,3,0.33,13.0,7,0.29,9.42,0,0,0,10,0.9,2.3,3,0.33,6.0,7,0.57,4.32,1,1.0,6.0,4,0.75,2.59,1
ESPORTSTMNT03/1820587,4,1.0,2.67,1,1.0,3.33,1,1.0,1.25,8,0.88,4.22,4,0.75,0.86,0,0,0,0,0,0,8,0.5,4.76,1,1.0,3.4,1,1.0,0.91,0
ESPORTSTMNT03/1820589,2,1.0,6.0,0,0,0,3,0.33,4.12,3,1.0,7.83,3,1.0,1.63,7,0.71,1.96,1,0.0,18.0,4,0.5,2.46,4,0.5,4.0,7,0.29,4.38,0
ESPORTSTMNT03/1810464,0,0,0,9,0.44,4.19,6,0.67,3.28,2,0.5,2.3,1,0.0,7.0,4,0.75,2.36,13,0.69,3.63,3,0.67,0.47,14,0.57,6.91,0,0,0,0
ESPORTSTMNT03/1820591,2,0.5,4.33,7,0.43,3.59,10,0.6,3.76,30,0.6,3.77,0,0,0,14,0.57,4.88,20,0.6,5.43,9,0.56,6.21,4,0.25,6.14,9,0.33,2.59,1
ESPORTSTMNT03/1820593,0,0,0,1,0.0,0.5,7,0.57,2.91,9,0.89,5.17,5,0.8,1.27,11,0.82,2.63,1,1.0,1.29,14,0.64,2.6,2,1.0,1.83,0,0,0,0
