bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
Camille,Olaf,Galio,Tristana,Rell,Gnar,Udyr,Viktor,Sivir,Gragas,0
Malphite,Graves,Azir,Tristana,Rell,Gnar,Udyr,Syndra,Kai'Sa,Leona,0
Aatrox,Lillia,Yone,Tristana,Sett,Fiora,Olaf,Orianna,Ezreal,Alistar,0
Lucian,Skarner,Gragas,Kalista,Nautilus,Gnar,Lillia,Sett,Aphelios,Thresh,0
Gnar,Olaf,Orianna,Jhin,Gragas,Aatrox,Taliyah,Viktor,Kai'Sa,Rell,1
Sion,Kayn,Syndra,Ezreal,Seraphine,Camille,Lillia,Lucian,Senna,Nautilus,1
Gnar,Udyr,Viktor,Sivir,Rell,Camille,Olaf,Gragas,Tristana,Leona,1
Ornn,Lillia,Lucian,Ezreal,Gragas,Volibear,Hecarim,Azir,Xayah,Rell,0
Gragas,Karthus,Corki,Kai'Sa,Leona,Jax,Olaf,Kassadin,Senna,Sett,0
Gangplank,Nidalee,Rumble,Xayah,Rell,Gnar,Kayn,Orianna,Kai'Sa,Alistar,0
Camille,Udyr,Syndra,Senna,Tahm Kench,Gragas,Lillia,Zoe,Aphelios,Thresh,0
Camille,Udyr,Syndra,Senna,Tahm Kench,Gragas,Lillia,Zoe,Aphelios,Thresh,0
Gnar,Graves,Azir,Kai'Sa,Alistar,Jayce,Lillia,Sion,Samira,Rell,0
Ornn,Hecarim,Azir,Senna,Tahm Kench,Renekton,Taliyah,Viktor,Xayah,Leona,1
Camille,Graves,Ryze,Samira,Rell,Gangplank,Nidalee,Seraphine,Xayah,Alistar,1
Malphite,Taliyah,Lucian,Sivir,Thresh,Gnar,Lillia,Orianna,Ezreal,Taric,1
Malphite,Gragas,Sett,Xayah,Rell,Gnar,Graves,Viktor,Kai'Sa,Leona,0
Jayce,Olaf,Viktor,Kai'Sa,Rell,Gnar,Graves,Azir,Aphelios,Thresh,1
Sion,Graves,Orianna,Kai'Sa,Alistar,Renekton,Hecarim,Viktor,Samira,Rell,0
Camille,Hecarim,Galio,Aphelios,Thresh,Fiora,Taliyah,Syndra,Samira,Rell,0
Kennen,Hecarim,Orianna,Vayne,Karma,Volibear,Nidalee,Yone,Sivir,Alistar,0
Aatrox,Udyr,Syndra,Jinx,Lulu,Camille,Lillia,Orianna,Senna,Tahm Kench,1
Sion,Udyr,Cassiopeia,Senna,Seraphine,Gragas,Lillia,Lucian,Tristana,Blitzcrank,0
Malphite,Udyr,Yasuo,Caitlyn,Galio,Gnar,Skarner,Sett,Vayne,Karma,0
Gragas,Hecarim,Azir,Ezreal,Bard,Gnar,Graves,Ryze,Xayah,Galio,0
Lulu,Olaf,Orianna,Aphelios,Leona,Aatrox,Udyr,Azir,Kai'Sa,Senna,1
Renekton,Udyr,Corki,Aphelios,Rell,Volibear,Olaf,Azir,Kai'Sa,Nautilus,1
Gnar,Olaf,Ryze,Kai'Sa,Rell,Kennen,Graves,Azir,Aphelios,Thresh,0
Gragas,Dr. Mundo,Ryze,Kai'Sa,Rell,Gnar,Udyr,Orianna,Xayah,Alistar,0
Lulu,Kindred,Orianna,Jinx,Jarvan IV,Ornn,Zac,Azir,Jhin,Karma,0
Volibear,Graves,Ahri,Senna,Tahm Kench,Aatrox,Rek'Sai,Orianna,Tristana,Rell,1
Gnar,Lillia,Viktor,Kai'Sa,Rell,Cho'Gath,Nidalee,Jayce,Xayah,Alistar,1
Renekton,Olaf,Twisted Fate,Senna,Tahm Kench,Gragas,Hecarim,Ryze,Ezreal,Karma,1
Camille,Jarvan IV,Orianna,Aphelios,Thresh,Renekton,Lillia,Seraphine,Jhin,Leona,0
Gnar,Graves,Syndra,Ezreal,Thresh,Gragas,Lillia,Sylas,Xayah,Rakan,1
Gnar,Graves,Twisted Fate,Jhin,Rell,Sion,Lillia,Ryze,Xayah,Rakan,0
Camille,Taliyah,Azir,Xayah,Alistar,Renekton,Lillia,Kassadin,Ezreal,Galio,1
Gnar,Lillia,Twisted Fate,Kai'Sa,Alistar,Sylas,Hecarim,Seraphine,Tristana,Rell,0
Renekton,Lillia,Irelia,Senna,Gragas,Karma,Skarner,Tristana,Ziggs,Galio,0
Gnar,Graves,Orianna,Ezreal,Rell,Wukong,Nidalee,Lucian,Sivir,Alistar,1
Fiora,Sejuani,Azir,Senna,Nautilus,Camille,Hecarim,Ekko,Sivir,Rell,1
Sion,Lillia,Tristana,Kalista,Alistar,Gnar,Udyr,Orianna,Kai'Sa,Rell,1
Gragas,Olaf,Syndra,Jhin,Rell,Yone,Lillia,Azir,Kalista,Alistar,0
Renekton,Lillia,Zoe,Caitlyn,Thresh,Gnar,Olaf,Azir,Senna,Nautilus,1
Gnar,Lillia,Azir,Senna,Tahm Kench,Vladimir,Jarvan IV,Syndra,Aphelios,Thresh,0
Renekton,Olaf,Azir,Aphelios,Thresh,Gragas,Hecarim,Syndra,Jinx,Tahm Kench,0
Malphite,Gragas,Yasuo,Kai'Sa,Rell,Sion,Graves,Orianna,Jhin,Alistar,0
Gangplank,Hecarim,Zoe,Seraphine,Alistar,Renekton,Olaf,Orianna,Tristana,Rell,1
Ornn,Lillia,Viktor,Kai'Sa,Leona,Sion,Olaf,Orianna,Maokai,Senna,1
Aatrox,Hecarim,Azir,Kai'Sa,Seraphine,Sion,Lillia,Syndra,Ezreal,Rell,1
Jayce,Skarner,Syndra,Kai'Sa,Rakan,Gnar,Lillia,Azir,Aphelios,Rell,0
Ornn,Lillia,Viktor,Jinx,Thresh,Jarvan IV,Hecarim,Azir,Kai'Sa,Gragas,0
Sion,Skarner,Seraphine,Jinx,Lulu,Aatrox,Hecarim,Azir,Senna,Karma,1
Gangplank,Lillia,Syndra,Tristana,Nautilus,Kled,Hecarim,Viktor,Kai'Sa,Alistar,1
Renekton,Nidalee,Galio,Senna,Nautilus,Gragas,Lillia,Azir,Ezreal,Seraphine,0
Volibear,Skarner,Syndra,Senna,Sion,Renekton,Kindred,Azir,Aphelios,Thresh,0
Ryze,Poppy,Azir,Kai'Sa,Alistar,Gnar,Kayn,Seraphine,Tristana,Rell,1
Ornn,Graves,Seraphine,Kai'Sa,Rakan,Gnar,Skarner,Sylas,Ezreal,Rell,1
Ornn,Poppy,Ryze,Kai'Sa,Gragas,Fiora,Hecarim,Seraphine,Tristana,Rell,1
Camille,Kayn,Seraphine,Kai'Sa,Shen,Gnar,Graves,Azir,Samira,Leona,1
Volibear,Udyr,Zoe,Kai'Sa,Alistar,Jayce,Lillia,Azir,Samira,Nautilus,1
Gangplank,Skarner,Seraphine,Senna,Tahm Kench,Gnar,Lillia,Azir,Jinx,Thresh,0
Renekton,Udyr,Azir,Kai'Sa,Rakan,Gangplank,Pantheon,Orianna,Tristana,Leona,0
Kennen,Udyr,Azir,Samira,Nautilus,Renekton,Lillia,Syndra,Vayne,Leona,0
Volibear,Udyr,Azir,Samira,Rell,Renekton,Olaf,Seraphine,Xayah,Rakan,1
Renekton,Lillia,Twisted Fate,Samira,Alistar,Ornn,Olaf,Orianna,Aphelios,Galio,1
Gnar,Xin Zhao,Lulu,Kai'Sa,Alistar,Renekton,Taliyah,Syndra,Tristana,Rell,1
Gnar,Taliyah,Syndra,Samira,Rell,Camille,Lillia,Sett,Kai'Sa,Gragas,1
Gnar,Udyr,Orianna,Kai'Sa,Gragas,Camille,Nidalee,Syndra,Aphelios,Leona,1
Sion,Nidalee,Lucian,Kai'Sa,Alistar,Aatrox,Olaf,Syndra,Sivir,Gragas,0
Gnar,Graves,Orianna,Kai'Sa,Alistar,Renekton,Nidalee,Sett,Samira,Gragas,1
Aatrox,Nunu & Willump,Azir,Xayah,Rell,Jayce,Olaf,Orianna,Samira,Alistar,1
Gnar,Lillia,Jayce,Samira,Rell,Malphite,Udyr,Orianna,Kai'Sa,Gragas,1
Gnar,Nidalee,Azir,Aphelios,Galio,Irelia,Graves,Syndra,Kai'Sa,Nautilus,0
Sett,Olaf,Azir,Tristana,Rell,Camille,Udyr,Syndra,Kalista,Gragas,0
Camille,Lillia,Azir,Senna,Seraphine,Aatrox,Udyr,Orianna,Kai'Sa,Nautilus,0
Sion,Kayn,Galio,Tristana,Rell,Gnar,Nidalee,Zoe,Ezreal,Alistar,0
Wukong,Olaf,Azir,Samira,Alistar,Aatrox,Lillia,Corki,Tristana,Rell,0
Gnar,Lillia,Jayce,Kai'Sa,Gragas,Sett,Udyr,Orianna,Samira,Alistar,0
Gragas,Nidalee,Pantheon,Kalista,Nautilus,Aatrox,Lillia,Jayce,Miss Fortune,Rell,1
Aatrox,Hecarim,Galio,Kai'Sa,Rell,Fiora,Lillia,Ryze,Xayah,Nautilus,0
Gnar,Olaf,Orianna,Samira,Nautilus,Aatrox,Nidalee,Syndra,Kai'Sa,Leona,0
Renekton,Nidalee,Zoe,Aphelios,Thresh,Gragas,Graves,Azir,Ezreal,Karma,0
Sion,Graves,Seraphine,Kai'Sa,Nautilus,Renekton,Nidalee,Azir,Tristana,Leona,1
Jayce,Graves,Azir,Kai'Sa,Leona,Gnar,Olaf,Zoe,Tristana,Thresh,0
Aatrox,Nidalee,Renekton,Ezreal,Gragas,Sion,Lillia,Viktor,Lucian,Alistar,1
Renekton,Kindred,Seraphine,Miss Fortune,Rell,Aatrox,Olaf,Ryze,Senna,Tahm Kench,1
Kennen,Olaf,Viktor,Vayne,Lulu,Camille,Hecarim,Galio,Kai'Sa,Nautilus,0
Renekton,Nidalee,Galio,Senna,Alistar,Gnar,Lillia,Lucian,Xayah,Rell,1
Gnar,Nidalee,Lucian,Samira,Alistar,Gangplank,Lillia,Viktor,Senna,Sett,1
Renekton,Gragas,Azir,Kai'Sa,Alistar,Sion,Lillia,Viktor,Samira,Rell,0
Renekton,Nidalee,Viktor,Tristana,Galio,Ornn,Lillia,Azir,Samira,Leona,0
Aatrox,Udyr,Azir,Sivir,Rell,Gnar,Lillia,Lucian,Miss Fortune,Thresh,1
Volibear,Udyr,Viktor,Xayah,Thresh,Gragas,Graves,Azir,Kai'Sa,Alistar,0
Gnar,Hecarim,Azir,Jhin,Maokai,Camille,Lillia,Corki,Ezreal,Rell,0
Kennen,Graves,Azir,Tristana,Rell,Renekton,Lillia,Lucian,Samira,Nautilus,0
Jayce,Udyr,Zoe,Xayah,Rakan,Renekton,Nidalee,Syndra,Tristana,Rell,0
Gnar,Udyr,Syndra,Samira,Rell,Irelia,Lillia,Lucian,Tristana,Alistar,0
Sion,Udyr,Viktor,Aphelios,Thresh,Jayce,Olaf,Azir,Samira,Rell,1
Sion,Graves,Azir,Samira,Rell,Camille,Gragas,Jayce,Kai'Sa,Alistar,1
Sion,Karthus,Sett,Xayah,Bard,Camille,Hecarim,Cassiopeia,Kai'Sa,Nami,1
Wukong,Hecarim,Sylas,Kai'Sa,Leona,Ornn,Graves,Ryze,Seraphine,Alistar,0
Jayce,Hecarim,Sylas,Aphelios,Thresh,Gangplank,Kindred,Galio,Ezreal,Gragas,1
Camille,Skarner,Azir,Kai'Sa,Galio,Renekton,Karthus,Viktor,Samira,Gragas,0
Ornn,Zac,Katarina,Caitlyn,Galio,Gnar,Olaf,Corki,Vayne,Rell,0
Aatrox,Lillia,Ryze,Jhin,Rell,Shen,Hecarim,Kog'Maw,Xayah,Gragas,0
Kennen,Skarner,Lucian,Miss Fortune,Rell,Gnar,Hecarim,Syndra,Aphelios,Thresh,1
Aatrox,Udyr,Sylas,Seraphine,Alistar,Malphite,Karthus,Corki,Kai'Sa,Leona,0
Gnar,Lillia,Viktor,Ezreal,Rell,Sion,Hecarim,Corki,Senna,Tahm Kench,0
Gragas,Elise,Yasuo,Xayah,Rakan,Shen,Nidalee,Lucian,Kai'Sa,Galio,0
Gnar,Udyr,Seraphine,Jhin,Nautilus,Sylas,Olaf,Syndra,Sivir,Thresh,0
Renekton,Udyr,Viktor,Samira,Rell,Maokai,Olaf,Syndra,Senna,Alistar,0
Sett,Hecarim,Viktor,Kai'Sa,Alistar,Sion,Lillia,Orianna,Xayah,Rell,0
Sion,Graves,Ekko,Aphelios,Thresh,Kennen,Lillia,Corki,Draven,Rell,1
Gnar,Udyr,Viktor,Samira,Rell,Maokai,Lillia,Yone,Senna,Tahm Kench,0
Volibear,Lillia,Syndra,Kai'Sa,Rell,Renekton,Dr. Mundo,Azir,Aphelios,Braum,1
Gragas,Skarner,Azir,Kai'Sa,Alistar,Aatrox,Olaf,Corki,Senna,Sett,0
Malphite,Udyr,Azir,Kai'Sa,Rell,Gnar,Rammus,Katarina,Senna,Taric,0
Sion,Lillia,Orianna,Aphelios,Thresh,Aatrox,Hecarim,Syndra,Kai'Sa,Rell,1
Camille,Skarner,Galio,Kai'Sa,Thresh,Riven,Hecarim,Rumble,Jinx,Braum,0
Gragas,Dr. Mundo,Corki,Kai'Sa,Rell,Gnar,Jarvan IV,Azir,Senna,Sett,1
Sion,Graves,Zoe,Kai'Sa,Rell,Gnar,Lee Sin,Syndra,Aphelios,Thresh,1
Aatrox,Udyr,Syndra,Kai'Sa,Alistar,Volibear,Gragas,Orianna,Vayne,Rell,1
Ornn,Skarner,Azir,Kai'Sa,Thresh,Gragas,Hecarim,Corki,Lucian,Rakan,1
Irelia,Udyr,Ryze,Ezreal,Nautilus,Volibear,Lillia,Orianna,Sivir,Leona,1
Gnar,Dr. Mundo,Sylas,Tristana,Rell,Jayce,Skarner,Syndra,Kai'Sa,Rakan,0
Sion,Jarvan IV,Ryze,Kai'Sa,Rell,Aatrox,Olaf,Sylas,Miss Fortune,Sett,1
Gnar,Udyr,Azir,Senna,Tahm Kench,Camille,Olaf,LeBlanc,Seraphine,Rakan,1
Lucian,Kayn,Vladimir,Seraphine,Bard,Sett,Hecarim,Azir,Kog'Maw,Lulu,0
Renekton,Lillia,Orianna,Kalista,Rell,Sion,Skarner,Zilean,Jinx,Thresh,0
Gragas,Hecarim,Ziggs,Senna,Tahm Kench,Gnar,Jarvan IV,Azir,Kai'Sa,Blitzcrank,1
Gnar,Lillia,Syndra,Ezreal,Rell,Jayce,Olaf,LeBlanc,Ashe,Alistar,1
Aatrox,Olaf,Zoe,Senna,Tahm Kench,Cho'Gath,Udyr,Viktor,Kai'Sa,Seraphine,1
Renekton,Olaf,Azir,Kai'Sa,Rell,Gnar,Lillia,Tristana,Sivir,Alistar,0
Gragas,Udyr,Azir,Ezreal,Alistar,Camille,Taliyah,Qiyana,Tristana,Galio,1
Renekton,Nidalee,Azir,Kai'Sa,Alistar,Kled,Olaf,Viktor,Tristana,Rell,1
Camille,Gragas,Syndra,Senna,Tahm Kench,Fiora,Graves,Azir,Jinx,Lulu,1
Gnar,Dr. Mundo,Azir,Samira,Rell,Gangplank,Udyr,Galio,Tristana,Alistar,1
Irelia,Kayn,Orianna,Samira,Alistar,Wukong,Nidalee,Zoe,Tristana,Rell,1
Renekton,Rek'Sai,Zoe,Jinx,Thresh,Gragas,Graves,Syndra,Tristana,Rell,0
Wukong,Udyr,Galio,Xayah,Alistar,Gnar,Hecarim,Seraphine,Tristana,Rakan,1
Sion,Olaf,LeBlanc,Samira,Alistar,Fiora,Lillia,Zoe,Tristana,Rell,0
Volibear,Udyr,Lucian,Kai'Sa,Gragas,Camille,Nidalee,Pantheon,Tristana,Alistar,0
Aatrox,Hecarim,Zoe,Kai'Sa,Rell,Gnar,Lillia,Yone,Ezreal,Alistar,0
Renekton,Hecarim,Azir,Samira,Leona,Jax,Udyr,Orianna,Kai'Sa,Galio,1
Gnar,Lillia,Yone,Kai'Sa,Seraphine,Gangplank,Udyr,Orianna,Aphelios,Thresh,1
Volibear,Lillia,Syndra,Kai'Sa,Galio,Renekton,Nidalee,Lucian,Xayah,Alistar,0
Gnar,Udyr,Viktor,Xayah,Alistar,Aatrox,Hecarim,Zoe,Samira,Rell,1
Renekton,Hecarim,Viktor,Kai'Sa,Galio,Camille,Udyr,Azir,Samira,Leona,1
Renekton,Karthus,Lucian,Ezreal,Alistar,Gnar,Taliyah,Ryze,Samira,Rell,1
Irelia,Hecarim,Seraphine,Draven,Gragas,Sion,Lillia,Syndra,Kalista,Rell,0
Gangplank,Olaf,Seraphine,Kai'Sa,Nautilus,Lucian,Lillia,Orianna,Tristana,Alistar,1
Jayce,Dr. Mundo,Syndra,Xayah,Rell,Gnar,Udyr,Fizz,Tristana,Alistar,1
Gnar,Lillia,Kled,Tristana,Rell,Renekton,Kayn,Zoe,Xayah,Sett,0
Sylas,Udyr,Twisted Fate,Xayah,Rell,Gnar,Hecarim,Orianna,Tristana,Alistar,1
Aatrox,Graves,Syndra,Aphelios,Thresh,Gnar,Karthus,Nocturne,Kai'Sa,Rell,1
Irelia,Lillia,Lucian,Ezreal,Alistar,Aatrox,Hecarim,Galio,Kai'Sa,Leona,1
Aatrox,Udyr,Syndra,Kai'Sa,Galio,Darius,Dr. Mundo,Azir,Tristana,Alistar,0
Ornn,Graves,Sylas,Kai'Sa,Thresh,Gnar,Hecarim,Orianna,Xayah,Alistar,0
Sion,Udyr,Azir,Kai'Sa,Braum,Gragas,Olaf,Ryze,Jinx,Lulu,0
Gnar,Nidalee,Zed,Kai'Sa,Leona,Aatrox,Skarner,Azir,Xayah,Rakan,1
Renekton,Lillia,Lucian,Ezreal,Pyke,Urgot,Jarvan IV,Malphite,Jinx,Thresh,0
Gangplank,Graves,Syndra,Jhin,Thresh,Malphite,Udyr,Orianna,Senna,Tahm Kench,1
Volibear,Udyr,Viktor,Kai'Sa,Thresh,Shen,Hecarim,Orianna,Jhin,Rell,1
Gangplank,Lillia,Tristana,Senna,Nautilus,Karma,Skarner,Syndra,Caitlyn,Leona,0
Gragas,Udyr,Orianna,Aphelios,Alistar,Gnar,Skarner,Viktor,Xayah,Rell,1
Gnar,Olaf,Azir,Kai'Sa,Nautilus,Ornn,Garen,Orianna,Aphelios,Thresh,1
Gangplank,Lillia,Orianna,Miss Fortune,Rell,Sion,Graves,Azir,Aphelios,Thresh,1
Gragas,Olaf,Corki,Senna,Leona,Ornn,Graves,Ryze,Ezreal,Seraphine,1
Gragas,Graves,Twisted Fate,Xayah,Rell,Aatrox,Kindred,Azir,Kai'Sa,Bard,1
Gragas,Graves,Twisted Fate,Xayah,Rell,Aatrox,Kindred,Azir,Kai'Sa,Bard,1
Volibear,Udyr,Lucian,Seraphine,Alistar,Camille,Lee Sin,Syndra,Aphelios,Thresh,1
Jayce,Dr. Mundo,Corki,Senna,Tahm Kench,Sion,Graves,Azir,Jhin,Bard,1
Aatrox,Kha'Zix,Orianna,Heimerdinger,Bard,Irelia,Lillia,Syndra,Sivir,Rell,0
Jayce,Garen,Viktor,Senna,Tahm Kench,Aatrox,Olaf,Seraphine,Xayah,Rell,0
Shen,Nocturne,Cassiopeia,Vayne,Rell,Yasuo,Udyr,Viktor,Kai'Sa,Alistar,1
Pantheon,Udyr,Orianna,Kalista,Thresh,Gangplank,Graves,Viktor,Kai'Sa,Sett,0
Pantheon,Udyr,Orianna,Kalista,Thresh,Gangplank,Graves,Viktor,Kai'Sa,Sett,0
Gragas,Lee Sin,Azir,Sivir,Rell,Darius,Hecarim,Diana,Caitlyn,Braum,0
Sion,Sejuani,Seraphine,Senna,Tahm Kench,Sett,Skarner,Azir,Jhin,Karma,0
Camille,Lillia,Viktor,Kai'Sa,Rell,Shen,Gragas,Tristana,Twitch,Thresh,0
Malphite,Udyr,Lucian,Samira,Rell,Gragas,Hecarim,Syndra,Vayne,Thresh,1
Gragas,Lillia,Orianna,Aphelios,Thresh,Karma,Olaf,Ahri,Kai'Sa,Blitzcrank,0
Gragas,Skarner,Corki,Tristana,Alistar,Camille,Jarvan IV,Ryze,Vayne,Rell,0
Irelia,Gragas,Azir,Senna,Tahm Kench,Gnar,Graves,Ekko,Caitlyn,Seraphine,0
Volibear,Gragas,Azir,Jhin,Nautilus,Ornn,Lee Sin,Syndra,Aphelios,Thresh,1
Gnar,Olaf,Azir,Xayah,Alistar,Gragas,Nidalee,Yone,Kai'Sa,Thresh,0
Gnar,Udyr,Viktor,Kai'Sa,Alistar,Kalista,Olaf,Orianna,Tristana,Rell,1
Gnar,Olaf,Twisted Fate,Jhin,Galio,Gragas,Lillia,Tristana,Vayne,Nautilus,0
Gragas,Udyr,Lucian,Kai'Sa,Alistar,Aatrox,Olaf,Orianna,Tristana,Rell,0
Jayce,Nidalee,Twisted Fate,Kai'Sa,Alistar,Sion,Olaf,Zoe,Tristana,Rell,0
Gnar,Lillia,Orianna,Senna,Sion,Wukong,Hecarim,Syndra,Tristana,Galio,0
Gnar,Hecarim,Orianna,Senna,Sion,Ornn,Lillia,Lucian,Tristana,Galio,0
Camille,Hecarim,Twisted Fate,Kai'Sa,Rell,Renekton,Viego,Syndra,Heimerdinger,Alistar,1
Renekton,Udyr,Syndra,Varus,Leona,Gnar,Olaf,Orianna,Xayah,Rakan,1
Karma,Olaf,Azir,Jinx,Thresh,Gragas,Lillia,Talon,Senna,Tahm Kench,0
Gnar,Jarvan IV,Katarina,Seraphine,Thresh,Irelia,Shyvana,Tristana,Kai'Sa,Rell,1
Camille,Olaf,Galio,Kalista,Rell,Gnar,Graves,Sett,Kai'Sa,Gragas,1
Gangplank,Udyr,Orianna,Kai'Sa,Gragas,Sion,Olaf,Syndra,Samira,Rell,0
Gragas,Lillia,Lucian,Kai'Sa,Jarvan IV,Nocturne,Fiddlesticks,Seraphine,Jinx,Alistar,0
Gnar,Lillia,Azir,Senna,Tahm Kench,Gangplank,Udyr,Kassadin,Kai'Sa,Seraphine,1
Sion,Lillia,Qiyana,Kai'Sa,Gragas,Volibear,Nidalee,Azir,Tristana,Leona,1
Sion,Udyr,Ekko,Samira,Alistar,Aatrox,Olaf,Azir,Kalista,Rell,1
Ornn,Graves,Zoe,Xayah,Rell,Renekton,Xin Zhao,Syndra,Kai'Sa,Alistar,0
Sion,Udyr,Ekko,Aphelios,Thresh,Gragas,Olaf,Azir,Kalista,Leona,1
Volibear,Hecarim,Azir,Heimerdinger,Senna,Renekton,Olaf,Ryze,Kai'Sa,Rakan,1
Volibear,Graves,Seraphine,Jhin,Alistar,Camille,Lillia,Irelia,Kai'Sa,Thresh,1
Sion,Olaf,Azir,Kai'Sa,Nautilus,Ornn,Kha'Zix,Viktor,Vayne,Thresh,1
Gnar,Graves,Azir,Kai'Sa,Rell,Malphite,Olaf,Corki,Jhin,Alistar,1
Gragas,Ekko,Lucian,Tristana,Rell,Shyvana,Hecarim,Azir,Jhin,Alistar,0
Aatrox,Olaf,Twisted Fate,Jhin,Braum,Gnar,Graves,Orianna,Jinx,Thresh,1
Volibear,Dr. Mundo,Azir,Jhin,Rell,Camille,Hecarim,Karma,Caitlyn,Thresh,1
Camille,Lee Sin,Ziggs,Kai'Sa,Galio,Renekton,Kha'Zix,Azir,Xayah,Gragas,0
Gnar,Lillia,Tristana,Senna,Maokai,Malphite,Graves,Azir,Sivir,Karma,0
Gnar,Nidalee,Lucian,Ezreal,Alistar,Camille,Olaf,Viktor,Jhin,Leona,0
Poppy,Lillia,Syndra,Kai'Sa,Nautilus,Volibear,Jarvan IV,Sylas,Xayah,Leona,0
Sion,Hecarim,Syndra,Jinx,Thresh,Kennen,Olaf,Azir,Xayah,Nautilus,0
Jayce,Udyr,Azir,Senna,Tahm Kench,Aatrox,Nidalee,Corki,Kalista,Rell,1
Aatrox,Lillia,Yone,Swain,Nautilus,Shen,Hecarim,Ekko,Draven,Leona,0
Gnar,Karthus,Viktor,Caitlyn,Thresh,Aatrox,Nunu & Willump,Azir,Jhin,Leona,0
Jayce,Lillia,Azir,Gragas,Senna,Aatrox,Udyr,Syndra,Jhin,Rakan,0
Ornn,Lillia,Yone,Xayah,Rakan,Jayce,Kayn,Twisted Fate,Ezreal,Leona,1
Poppy,Nidalee,Syndra,Kai'Sa,Nautilus,Renekton,Hecarim,Orianna,Xayah,Rakan,1
Renekton,Karthus,Lucian,Twitch,Rell,Gnar,Lee Sin,Azir,Jhin,Gragas,1
Aatrox,Olaf,Lulu,Xayah,Rell,Camille,Kayn,LeBlanc,Kai'Sa,Alistar,0
Gnar,Udyr,Viktor,Caitlyn,Thresh,Jayce,Olaf,Syndra,Tristana,Alistar,0
Gnar,Olaf,Azir,Xayah,Rell,Malphite,Lillia,Irelia,Kai'Sa,Alistar,1
Gnar,Lillia,Azir,Xayah,Nautilus,Ornn,Nocturne,Orianna,Aphelios,Thresh,0
Renekton,Jarvan IV,Azir,Ashe,Leona,Gragas,Nidalee,Jayce,Caitlyn,Bard,1
Gnar,Lillia,Syndra,Jhin,Alistar,Gangplank,Skarner,Orianna,Jinx,Thresh,0
Gnar,Graves,Orianna,Xayah,Nautilus,Gragas,Volibear,Vel'Koz,Tristana,Morgana,0
Jayce,Skarner,Viktor,Senna,Sion,Gnar,Hecarim,Azir,Ezreal,Karma,1
Renekton,Udyr,Ryze,Jhin,Alistar,Ornn,Skarner,Azir,Xayah,Nautilus,1
Gragas,Olaf,Azir,Xayah,Nautilus,Volibear,Jarvan IV,Orianna,Kai'Sa,Leona,0
Ornn,Kayn,Azir,Xayah,Thresh,Sett,Lillia,Irelia,Kai'Sa,Nautilus,0
Gragas,Dr. Mundo,Seraphine,Xayah,Alistar,Camille,Olaf,Twisted Fate,Senna,Thresh,0
Gnar,Hecarim,Viktor,Sivir,Rell,Sion,Graves,Ryze,Caitlyn,Nautilus,1
Gangplank,Lillia,Azir,Vayne,Rell,Ornn,Udyr,Orianna,Jhin,Alistar,0
Camille,Graves,Seraphine,Senna,Tahm Kench,Jax,Olaf,Azir,Ezreal,Pyke,0
Gnar,Udyr,Viktor,Aphelios,Leona,Malphite,Olaf,Kassadin,Jhin,Seraphine,0
Gragas,Olaf,Syndra,Kalista,Nautilus,Camille,Udyr,Karma,Aphelios,Thresh,0
Camille,Graves,Ryze,Vayne,Thresh,Irelia,Hecarim,Veigar,Sivir,Galio,0
Aatrox,Jarvan IV,Syndra,Senna,Tahm Kench,Ornn,Lillia,Irelia,Xayah,Nautilus,0
Jayce,Lillia,Twisted Fate,Kai'Sa,Alistar,Sion,Olaf,Sylas,Kalista,Rell,0
Renekton,Lillia,Twisted Fate,Kai'Sa,Alistar,Urgot,Udyr,Zoe,Kalista,Rell,0
Ornn,Udyr,Azir,Ezreal,Bard,Tristana,Elise,Veigar,Senna,Sett,1
Gnar,Nidalee,Galio,Xayah,Rell,Gangplank,Olaf,Syndra,Tristana,Alistar,0
Karma,Hecarim,Syndra,Xayah,Rell,Gnar,Lillia,Galio,Vayne,Alistar,1
Gnar,Olaf,Syndra,Aphelios,Thresh,Irelia,Lillia,Lucian,Tristana,Alistar,0
Azir,Viego,Yone,Kai'Sa,Rell,Camille,Olaf,Orianna,Xayah,Gragas,1
Malphite,Lillia,Nocturne,Aphelios,Thresh,Gnar,Nidalee,Akali,Xayah,Blitzcrank,0
Karma,Udyr,Lucian,Senna,Sett,Jax,Lillia,Syndra,Samira,Rell,0
Sion,Karthus,Syndra,Jinx,Thresh,Gnar,Dr. Mundo,Zoe,Jhin,Alistar,1
Karma,Udyr,Jayce,Samira,Rell,Camille,Hecarim,Galio,Aphelios,Braum,0
Aatrox,Udyr,Ryze,Xayah,Nautilus,Jayce,Gragas,Azir,Tristana,Leona,1
Gnar,Olaf,Azir,Lucian,Alistar,Jayce,Kayn,Viktor,Tristana,Rell,1
Gnar,Kayn,Orianna,Jinx,Rell,Ornn,Skarner,Syndra,Kai'Sa,Alistar,1
Gnar,Gragas,Azir,Vayne,Alistar,Aatrox,Udyr,Zoe,Miss Fortune,Leona,1
Gnar,Udyr,Azir,Sivir,Alistar,Camille,Olaf,Syndra,Xayah,Rell,1
Renekton,Lillia,Corki,Kai'Sa,Rakan,Aatrox,Udyr,Azir,Xayah,Alistar,0
