game,bluetop,bluetopgp,bluetopwr,bluetopkda,bluejungle,bluejunglegp,bluejunglewr,bluejunglekda,bluemid,bluemidgp,bluemidwr,bluemidkda,blueadc,blueadcgp,blueadcwr,blueadckda,bluesupport,bluesupportgp,bluesupportwr,bluesupportkda,redtop,redtopgp,redtopwr,redtopkda,redjungle,redjunglegp,redjunglewr,redjunglekda,redmid,redmidgp,redmidwr,redmidkda,redadc,redadcgp,redadcwr,redadckda,redsupport,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT02/1640127,Renekton,5,40%,1.5,Graves,10,80%,6.3,Orianna,8,25%,3.5,Kai'Sa,12,67%,5.0,Leona,7,57%,2.8,Ornn,1,0%,1.3,Ekko,2,50%,2.1,Qiyana,1,0%,1.5,Jhin,3,0%,9.5,Alistar,7,43%,5.7,0
ESPORTSTMNT02/1640143,Sion,4,50%,3.9,Olaf,7,43%,3.8,Seraphine,4,50%,3.8,Miss Fortune,5,60%,6.3,Braum,6,50%,4.0,Shen,4,25%,1.9,Lillia,3,33%,3.0,Qiyana,1,0%,1.0,Jhin,1,0%,7.0,Leona,2,0%,0.8,0
ESPORTSTMNT02/1640154,Gnar,5,80%,2.6,Kindred,4,50%,3.0,Seraphine,5,60%,5.0,Jinx,2,100%,4.3,Karma,7,43%,8.3,Volibear,1,0%,8.0,Olaf,1,0%,1.0,Azir,1,0%,6.0,Jhin,7,29%,8.0,Rakan,1,0%,2.0,0
NA1/3741211550,Wukong,2,0%,1.7,Lee Sin,5,0%,0.9,Corki,2,0%,1.1,Neeko,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Seraphine,5,60%,5.2,Malphite,10,60%,3.0,Kindred,5,60%,3.2,Xerath,12,42%,4.2,Jhin,13,54%,3.2,Galio,10,30%,2.0,1
NA1/3741221590,Akali,9,22%,1.3,Lillia,9,56%,3.8,Yone,4,75%,5.0,Samira,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Leona,1,0%,4.0,Maokai,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Kha'Zix,10,80%,4.3,Annie,1,100%,6.0,Miss Fortune,10,50%,2.7,Seraphine,3,33%,2.9,1
NA1/3741211613,Ornn,4,50%,2.6,Ekko,2,0%,0.9,Pantheon,2,0%,0.9,Kai'Sa,15,40%,2.8,Braum,1,0%,0.5,Shen,2,50%,4.0,Graves,17,53%,4.0,Galio,7,43%,3.4,Miss Fortune,7,57%,3.3,Seraphine,2,50%,3.8,1
NA1/3741500797,Poppy,2,0%,1.9,Lillia,1,0%,4.5,Seraphine,4,0%,1.9,Jhin,4,0%,2.4,Thresh,3,0%,1.9,Vladimir,1,100%,3.5,Kha'Zix,2,100%,5.1,Galio,7,57%,3.7,Miss Fortune,8,25%,3.1,Leona,1,100%,4.3,1
NA1/3741630404,Shen,3,33%,2.9,Nocturne,2,50%,4.9,Azir,11,45%,3.0,Jhin,3,33%,2.2,Seraphine,4,25%,1.8,Riven,4,25%,1.9,Kindred,2,0%,1.0,Viktor,6,17%,2.2,Miss Fortune,8,13%,1.6,Alistar,1,0%,1.1,0
NA1/3741221703,Cho'Gath,1,0%,1.3,Kindred,6,33%,1.9,Viktor,6,50%,1.9,Vayne,7,43%,1.9,Leona,6,33%,1.4,Ornn,10,70%,3.9,Olaf,17,71%,5.2,Azir,12,75%,4.2,Samira,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Galio,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,1
NA1/3741211639,Malphite,3,33%,1.8,Graves,17,41%,3.2,Ryze,27,44%,3.5,Miss Fortune,3,33%,2.7,Galio,12,42%,4.4,Sylas,1,100%,1.4,Olaf,13,69%,3.9,Karma,10,60%,6.1,Jhin,11,82%,8.5,Seraphine,1,100%,5.7,1
NA1/3741470828,Mordekaiser,6,50%,2.3,Olaf,15,53%,3.6,Orianna,14,43%,3.5,Kai'Sa,38,50%,3.7,Thresh,11,73%,4.7,Camille,11,45%,2.7,Graves,13,62%,6.3,Galio,3,33%,1.9,Aphelios,24,71%,4.2,Nautilus,27,52%,2.3,0
NA1/3741331153,Shen,14,64%,4.6,Hecarim,1,100%,21.0,Syndra,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Kai'Sa,16,44%,3.8,Pantheon,4,50%,2.7,Renekton,6,33%,2.2,Taliyah,7,43%,3.4,Azir,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Miss Fortune,6,67%,3.5,Seraphine,4,75%,4.8,0
NA1/3741550739,Aatrox,1,0%,1.0,Hecarim,5,40%,4.4,Azir,1,0%,0.7,Kai'Sa,14,36%,3.3,Alistar,3,33%,2.2,Kled,1,100%,11.0,Lillia,2,50%,10.5,Sett,3,33%,2.4,Samira,3,33%,3.0,Leona,3,67%,5.9,1
NA1/3741570696,Jax,10,40%,1.4,Olaf,3,33%,2.5,Lulu,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Kai'Sa,7,43%,3.3,Rakan,18,61%,4.3,Aatrox,7,29%,1.6,Nidalee,4,25%,1.5,Irelia,3,33%,1.6,Ezreal,3,33%,0.9,Alistar,4,25%,0.7,1
NA1/3741271239,Mordekaiser,1,100%,2.6,Graves,11,36%,2.9,Orianna,20,55%,4.2,Samira,5,60%,3.1,Galio,5,60%,4.3,Malphite,2,50%,4.7,Gragas,9,33%,3.6,Yasuo,6,33%,3.4,Kai'Sa,5,60%,3.2,Alistar,1,0%,2.5,0
NA1/3741351212,Camille,8,38%,1.7,Nidalee,14,57%,3.1,Sylas,7,71%,4.0,Jhin,5,60%,4.6,Pantheon,2,50%,2.4,Ornn,3,0%,0.5,Lillia,14,71%,4.0,Irelia,1,0%,0.1,Miss Fortune,2,0%,0.7,Alistar,1,0%,0.5,0
NA1/3741600545,Maokai,3,33%,2.0,Lillia,3,0%,1.0,Pantheon,1,0%,1.1,Jhin,6,50%,4.7,Thresh,5,20%,1.5,Aatrox,2,50%,3.8,Graves,5,20%,2.6,Syndra,1,100%,2.4,Kai'Sa,11,73%,5.6,Leona,14,50%,2.6,1
NA1/3741400897,Aatrox,10,60%,2.0,Kindred,2,50%,3.0,Viktor,8,38%,2.1,Kai'Sa,5,80%,3.3,Nautilus,14,64%,2.3,Gangplank,26,50%,3.6,Ivern,2,0%,4.1,Anivia,5,40%,2.9,Samira,3,33%,3.8,Gragas,3,0%,1.9,0
NA1/3741471233,Ornn,10,70%,3.9,Graves,20,80%,5.6,Azir,10,70%,4.1,Samira,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Rakan,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Shen,6,33%,3.9,Taliyah,3,33%,1.2,Katarina,3,33%,4.7,Jhin,2,0%,2.7,Braum,5,0%,1.7,0
NA1/3741610911,Sion,3,33%,2.5,Taliyah,3,33%,2.8,Yone,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Kai'Sa,16,44%,3.8,Galio,6,67%,2.9,Wukong,5,60%,2.6,Graves,12,50%,4.5,Anivia,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Samira,1,0%,1.0,Thresh,1,0%,0.8,0
NA1/3741501280,Darius,3,33%,2.1,Taliyah,3,0%,1.8,Sett,3,33%,2.4,Ashe,1,0%,1.5,Alistar,4,25%,2.9,Gangplank,2,100%,10.3,Hecarim,5,40%,4.4,Sylas,1,100%,5.0,Kai'Sa,14,36%,3.3,Leona,13,46%,3.9,1
NA1/3741351579,Shen,6,50%,4.7,Ekko,2,0%,0.9,Zoe,2,0%,0.6,Ezreal,1,0%,0.2,Pantheon,1,0%,0.4,Gnar,7,57%,2.4,Graves,15,53%,3.1,Fizz,5,80%,5.5,Lucian,3,100%,18.5,Braum,7,57%,3.0,1
NA1/3741212085,Aatrox,3,67%,2.9,Graves,2,50%,2.5,Seraphine,3,33%,2.1,Kai'Sa,5,40%,2.2,Galio,10,30%,2.0,Malphite,1,0%,1.7,Lillia,6,33%,3.5,Lucian,3,0%,1.7,Jhin,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Braum,8,13%,2.8,0
NA1/3741212090,Camille,11,55%,1.9,Olaf,3,33%,2.0,Syndra,3,0%,0.8,Tristana,1,0%,0.9,Ivern,1,0%,1.6,Akali,1,100%,14.0,Graves,17,53%,4.0,Seraphine,1,100%,7.5,Miss Fortune,7,57%,3.3,Leona,8,25%,2.4,1
NA1/3741501311,Camille,1,0%,1.2,Fiddlesticks,1,0%,2.0,Seraphine,4,0%,1.9,Jhin,4,0%,2.4,Thresh,3,0%,1.9,Volibear,4,75%,4.6,Graves,7,29%,3.6,Galio,7,57%,3.7,Ashe,2,50%,3.0,Lulu,3,67%,4.4,1
NA1/3741571128,Aatrox,7,29%,1.6,Nidalee,4,25%,1.5,Syndra,1,0%,2.0,Jhin,2,0%,1.1,Alistar,4,25%,0.7,Kennen,1,100%,3.5,Graves,24,63%,3.2,Anivia,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Ezreal,13,54%,3.4,Rakan,18,61%,4.3,1
NA1/3741391406,Shen,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Kha'Zix,10,80%,4.3,Ekko,12,58%,4.0,Miss Fortune,10,50%,2.7,Thresh,15,53%,4.8,Aatrox,11,73%,3.7,Graves,9,44%,3.5,Syndra,24,50%,3.5,Jhin,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Nautilus,4,50%,4.1,0
NA1/3741541283,Jax,1,100%,2.5,Hecarim,5,20%,2.7,Corki,9,22%,2.2,Miss Fortune,4,25%,2.3,Rell,1,100%,10.5,Fiora,4,0%,1.4,Skarner,1,0%,1.2,Ekko,2,0%,2.9,Jhin,3,0%,3.3,Leona,3,0%,1.1,0
NA1/3741441248,Poppy,7,43%,2.2,Graves,3,0%,0.6,Syndra,3,0%,1.5,Lucian,1,0%,1.2,Braum,1,0%,0.8,Mordekaiser,1,100%,9.0,Taliyah,1,100%,2.7,Pantheon,1,100%,15.0,Jhin,3,0%,9.5,Bard,10,80%,12.9,1
NA1/3741471353,Renekton,15,53%,3.0,Taliyah,15,80%,7.7,Akali,10,30%,1.6,Jhin,13,62%,7.6,Maokai,6,50%,1.9,Shen,15,53%,4.2,Graves,5,80%,3.9,Orianna,14,43%,3.5,Kai'Sa,38,50%,3.7,Galio,9,44%,2.6,0
NA1/3741471379,Wukong,10,80%,3.3,Taliyah,3,33%,1.7,Galio,16,44%,3.0,Kai'Sa,33,64%,5.5,Nautilus,13,54%,3.0,Gragas,8,38%,1.6,Graves,17,41%,3.2,Corki,10,30%,2.4,Aphelios,9,67%,4.6,Maokai,11,64%,3.6,0
