game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
6991-9271,15,0.47,2.6,15,0.4,2.7,7,0.29,2.3,13,0.38,2.6,10,0.7,3.2,10,0.4,2.4,4,0.25,2.7,3,0.33,1.3,4,0.25,2.2,10,0.2,1.8,0
6991-9272,1,1.0,3.0,3,0.33,3.8,19,0.58,4.1,6,0.33,6.0,35,0.43,2.9,13,0.15,1.9,3,0.0,1.3,10,0.4,3.5,3,0.0,1.0,7,0.57,1.7,0
6991-9273,4,0.25,2.0,3,0.33,2.3,10,0.4,3.5,13,0.38,2.6,3,0.67,2.3,12,0.25,3.3,10,0.3,4.3,18,0.39,2.4,4,0.25,2.2,10,0.2,1.8,0
6993-9274,7,0.29,1.2,21,0.48,4.4,0,0,0,3,0.67,6.3,11,0.27,1.9,11,0.18,1.4,13,0.38,3.4,12,0.75,4.7,11,0.73,7.4,11,0.55,2.9,1
ESPORTSTMNT01/1691675,36,0.67,4.9,27,0.85,5.9,55,0.69,4.9,39,0.72,4.7,12,0.92,6.3,9,0.33,1.9,50,0.68,5.4,14,0.5,3.8,12,0.33,3.2,16,0.56,2.2,0
6992-9276,3,0.67,2.1,7,0.57,4.0,7,0.29,2.0,9,0.11,1.8,4,0.25,2.3,3,0.33,1.1,10,0.6,3.3,1,0.0,2.0,3,0.0,2.1,18,0.5,3.2,0
6993-9275,9,0.78,2.8,49,0.59,4.4,17,0.47,2.5,26,0.69,4.2,21,0.71,3.2,8,0.38,2.4,1,0.0,1.0,0,0,0,5,0.4,5.3,2,0.0,0.8,0
6925-9277,18,0.56,2.8,10,0.7,4.8,4,0.5,3.2,32,0.38,3.9,12,0.5,2.4,16,0.25,2.9,3,0.0,0.8,8,0.63,5.8,2,0.0,0.9,21,0.24,3.0,0
ESPORTSTMNT01/1691681,11,0.73,3.0,9,0.33,2.4,47,0.74,6.1,10,0.7,3.7,8,0.38,2.0,1,0.0,1.5,12,0.33,3.0,3,0.0,1.7,24,0.21,2.8,1,0.0,2.0,0
6992-9280,5,0.4,2.0,10,0.6,3.3,3,0.0,0.6,39,0.33,2.3,4,0.25,2.6,3,0.67,2.1,7,0.57,4.0,3,1.0,5.1,1,1.0,17.0,2,0.5,5.5,1
